Facility_Number,FAC_ID,Name,Type,Category,Area
002,SKILES,"Skiles, William Vernon Classroom Building",BUILDING,M,139915.0
002C,TECH WALKWAY,,,,
003,ALUMNI FACULTY,"Robert, L.W. Alumni House",BUILDING,M,25645.0
009,BURGE PARKING D,"Burge, Flippen D. Parking Deck",PKG DECK,M,56064.0
012,BRITTAIN DINING,"Brittain, Marion L.  Dining Hall",BUILDING,M,19986.0
012A,BRITTAIN DIN-GT,,,,
012C,BRITTAIN - LAUN,,,,
017,BOBBY DODD STAD,"Dodd, Bobby Stadium at Grant Field",BUILDING,M,347094.0
018,EDGE ATHLETIC C,"Edge, Arthur B. Intercollegiate Athletic Center",BUILDING,M,72775.0
020,WREK TOWER,WREK Transmitter and Tower,BUILDING,M,384.0
022,DANIEL LAB,"Daniel, J.L. Laboratory",BUILDING,M,22294.0
023A,ARMY ROTC OFFIC,220 Bobby Dodd Way,BUILDING,M,2375.0
024,D M SMITH,"Smith, David M.",BUILDING,M,38306.0
025,CHAPIN,"Chapin, Lloyd W.",BUILDING,M,10310.0
026,HOLLAND POWER P,"Holland, Archibald D. (Heating and Cooling)",BUILDING,M,35756.0
029A,LYMAN HALL,"Hall, Lyman",BUILDING,M,18445.0
030,A FRENCH,"French, Aaron",BUILDING,M,33107.0
031,MOORE SUCCESS C,"Moore, Bill Student Success Center",BUILDING,M,48666.0
032,FAB,ACC Network Production Center,BUILDING,M,7591.0
033,OKEEFE MAIN BLD,"O'Keefe, Daniel C.",BUILDING,M,111907.0
033A,OKEEFE GYM,O'Keefe Gym,BUILDING,M,34953.0
033B,OKEEFE CUSTODIA,Womens Softball Locker Room,BUILDING,M,6478.0
033C,OKEEFE STORAGE,O'Keefe Storage Facility,BUILDING,M,834.0
035,ADMINISTRATION,"Evans, Lettie Pate Whitehead Administration",BUILDING,M,48713.0
036,CARNEGIE,"Carnegie, Andrew",BUILDING,M,10231.0
038,SAVANT,"Savant, Domenico P.",BUILDING,M,25855.0
039,SWANN,"Swann, Janie Austell",BUILDING,M,31154.0
040,GUGGENHEIM AE,"Guggenheim, Daniel F.",BUILDING,M,24442.0
041,ESM,Engineering Science and Mechanics,BUILDING,M,37818.0
045,J S COON ME,"Coon, John Saylor",BUILDING,M,77867.0
046,BERINGAUSE(POLI,,,,
047,WARDLAW CENTER,"Wardlaw, William C. Jr. Center",BUILDING,M,120422.0
047A,WARDLAW PARKING,,,,
050,COLL OF COMPUTI,Computing (COC),BUILDING,M,118217.0
051,HINMAN HIGHBAY,"Hinman, Thomas P. Research",BUILDING,M,17910.0
051A,HINMAN,"Hinman, Thomas P. Addition",BUILDING,M,18875.0
051B,HINMAN - CALCUL,Calculator,BUILDING,M,7026.0
051C,RICH OLD,Rich (Old),BUILDING,M,7063.0
051D,RICH COMP CTR,Rich Computer Center,BUILDING,M,41522.0
051E,CALCULATOR ADDN,,,,
051F,RICH CHILLER PL,Rich Chiller Plant,BUILDING,M,4388.0
054,CLYDECK,Student Center Parking Deck,PKG DECK,M,283006.0
055,INSTRUCTION CTR,Instructional Center,BUILDING,M,40537.0
056,ISYE (GROSE),"Groseclose, Colonel Frank F.",BUILDING,M,54585.0
057,ISYE (ANNEX),ISyE Main,BUILDING,M,52687.0
058,OLD CIVIL ENGRG,Civil Engineering (Old),BUILDING,M,33434.0
059,STEPHEN C. HALL,"Hall, Stephen C.",BUILDING,M,12597.0
060A,ARCH ANNEX,"Caddell, Joyce K. & John A. Architecture Annex",BUILDING,M,11181.0
061,430 10TH ST N,,,,
061A,430 10TH ST S,,,,
066,CHERRY L EMERSO,"Emerson, Cherry L.",BUILDING,M,15650.0
066A,C EMERSON ADDN,Emerson Addition,BUILDING,M,45056.0
067,KING GARAGE WAR,Facilities Garage/Warehouse,BUILDING,M,9752.0
067A,FAC STORAGE,Facilities Operations Storage,BUILDING,M,6943.0
071,PRESIDENTS HOUS,,,,
071A,LANDSCAPE PRES.,,,,
072,BRITTAIN T ROOM,"Brittain, Marion L. ""T"" Room Addition",BUILDING,M,1989.0
073,MCCAMISH PAV,McCamish Pavilion,BUILDING,M,203836.0
073B,ZELNAK BB CTR,"Zelnak, Judy & Steve Basketball Practice Facility",BUILDING,M,19825.0
073C,COLISEUM ANNEX,,,,
074,BRADLEY DINING,"Bradley, W.C. & Sarah",BUILDING,M,8442.0
075,ARCH ADDITION,Architecture (West),BUILDING,M,52724.0
076,ARCHITECTURE,Architecture (East),BUILDING,M,66026.0
077,GILBERT LIBRARY,"Gilbert, Judge S. Price Memorial Library",BUILDING,M,97482.0
